id,base_id,augmentation_type,label,text,preserved_signals,notes,_meta,_similarity
seed_001_gen_01_asr_noise,seed_001_gen_01,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. У нас есть сообщение о попытке перевода средств с вашего счета. Клиент: Я ничего не делал. Оператор: Пожалуйста, потвердите операцию, назвав код из эсэмэс, который мы вам отправили.",bank_impersonation;urgency;sms_code_request,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_001_gen_01_asr_noise', 'scenario': 'bank_security_call'}",0.9787
seed_001_gen_01_paraphrase,seed_001_gen_01,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности вашего банка. Мы получили информацию о подозрительной активности на вашем счете. Клиент: Я ничего не совершал. Оператор: Чтобы предотвратить возможное списание, пожалуйста, назовите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request,"Переформулированы фразы, сохранены ключевые сигналы.","{'request_id': 'seed_001_gen_01_paraphrase', 'scenario': 'bank_security_call'}",0.384
seed_001_gen_01_subtle,seed_001_gen_01,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. Мы получили информацию о подозрительной активности на вашем счете. Клиент: Я ничего не совершал. Оператор: Чтобы предотвратить возможное списание, пожалуйста, назовите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request,"Заменены формулировки на более завуалированные, сохранив основной смысл и сигналы.","{'request_id': 'seed_001_gen_01_subtle', 'scenario': 'bank_security_call'}",0.4178
seed_001_gen_02_asr_noise,seed_001_gen_02,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасностив банка. У нас есть сообщение о попытке перевода средств с вашего счета. Клиент: Я ничего не делал. Оператор: Пожалуйста, немедленно потвердите перевод, назвав код из эсэмэс, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_001_gen_02_asr_noise', 'scenario': 'bank_security_call'}",0.9776
seed_001_gen_02_paraphrase,seed_001_gen_02,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности вашего банка. Мы обнаружили подозрительную активность на вашем счете. Клиент: Я ничего не совершал. Оператор: Чтобы предотвратить возможное списание, пожалуйста, назовите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,"Переформулированы фразы, сохранены ключевые сигналы и суть мошенничества.","{'request_id': 'seed_001_gen_02_paraphrase', 'scenario': 'bank_security_call'}",0.5371
seed_001_gen_02_subtle,seed_001_gen_02,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. Мы получили информацию о возможном несанкционированном доступе к вашему счету. Клиент: Я ничего не делал. Оператор: Чтобы предотвратить возможные проблемы, пожалуйста, назовите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_001_gen_02_subtle', 'scenario': 'bank_security_call'}",0.3789
seed_001_gen_03_asr_noise,seed_001_gen_03,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Выявлено подозрительное пополнение счета. Клиент: Что значит подозрительное? Оператор: Пополнение было произведено через неизвестный терминал. Клиент: Это невозможно! Оператор: Пожалуйста, потвердите это немедленно, набрав код из эсэмэс.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_001_gen_03_asr_noise', 'scenario': 'bank_security_call'}",0.9794
seed_001_gen_03_paraphrase,seed_001_gen_03,paraphrase,fraud,"Оператор: Добрый день, это служба безопасности банка. Мы обнаружили подозрительную активность на вашем счете. Клиент: Подозрительную активность? Оператор: Да, пополнение было осуществлено через терминал, который мы не можем идентифицировать. Клиент: Но я точно знаю, что такого не было! Оператор: Чтобы мы могли принять меры, пожалуйста, введите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,"Переформулированы фразы, сохранены ключевые сигналы и смысл.","{'request_id': 'seed_001_gen_03_paraphrase', 'scenario': 'bank_security_call'}",0.1902
seed_001_gen_03_subtle,seed_001_gen_03,subtle,fraud,"Оператор: Добрый день, это служба безопасности банка. Обнаружены подозрительные транзакции на вашем счету. Клиент: Подозрительные? Оператор: Да, одна из них была совершена через неизвестный терминал. Клиент: Но я не совершал никаких транзакций. Оператор: Чтобы мы могли проверить это, пожалуйста, введите код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,"Заменены формулировки на более завуалированные, сохранены ключевые сигналы.","{'request_id': 'seed_001_gen_03_subtle', 'scenario': 'bank_security_call'}",0.212
seed_001_gen_04_asr_noise,seed_001_gen_04,asr_noise,fraud,"Оператор: Здравствуйте, это служба безопасности банка. Выявлено подозрительное пополнение на вашем счете. Клиент: Что значит подозрительное пополнение? Оператор: Проверка показывает, что средства были перенесены с другого номера. Клиент: Я ничего не согласовывал! Оператор: Пожалуйста, потвердите перевод, набрав код из эсэмэс, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,Внесены правдоподобные ошибки распознавания речи.,"{'request_id': 'seed_001_gen_04_asr_noise', 'scenario': 'bank_security_call'}",0.8864
