audio_id,source_id,label,scenario,difficulty,text,signals,segment_count,segments,audio_output_path,wav_output_path,asr_transcript_path,manual_transcript_path,notes
syn_audio_seed_001_gen_01,seed_001_gen_01,fraud,bank_security_call,easy,"Оператор: Здравствуйте, это служба безопасности банка. У нас есть сообщение о попытке перевода средств с вашего счета. Клиент: Я ничего не делал. Оператор: Пожалуйста, подтвердите операцию, назвав код из СМС, который мы вам отправили.","[""bank_impersonation"", ""urgency"", ""sms_code_request"", ""pressure"", ""do_not_hang_up"", ""trust_building""]",3,"[{""segment_id"": ""syn_audio_seed_001_gen_01_seg_01"", ""speaker"": ""Оператор"", ""text"": ""Здравствуйте, это служба безопасности банка. У нас есть сообщение о попытке перевода средств с вашего счета."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_001_gen_01_seg_01.mp3""}, {""segment_id"": ""syn_audio_seed_001_gen_01_seg_02"", ""speaker"": ""Клиент"", ""text"": ""Я ничего не делал."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_001_gen_01_seg_02.mp3""}, {""segment_id"": ""syn_audio_seed_001_gen_01_seg_03"", ""speaker"": ""Оператор"", ""text"": ""Пожалуйста, подтвердите операцию, назвав код из СМС, который мы вам отправили."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_001_gen_01_seg_03.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_001_gen_01.mp3,data/06_audio/synthetic/audio/syn_audio_seed_001_gen_01.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_001_gen_01.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_001_gen_01.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
syn_audio_seed_002_gen_01,seed_002_gen_01,fraud,fake_loan_application,easy,"Оператор: Здравствуйте, это служба безопасности банка. Ваша заявка на кредит была успешно рассмотрена, но нам необходимо срочно убедиться в вашем реальном адресе. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, предоставьте код из СМС, который мы вам отправили для подтверждения.","[""loan_fraud"", ""sms_code_request"", ""bank_impersonation"", ""card_data_request"", ""password_request""]",3,"[{""segment_id"": ""syn_audio_seed_002_gen_01_seg_01"", ""speaker"": ""Оператор"", ""text"": ""Здравствуйте, это служба безопасности банка. Ваша заявка на кредит была успешно рассмотрена, но нам необходимо срочно убедиться в вашем реальном адресе."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_002_gen_01_seg_01.mp3""}, {""segment_id"": ""syn_audio_seed_002_gen_01_seg_02"", ""speaker"": ""Клиент"", ""text"": ""Я ничего не подписывал!"", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_002_gen_01_seg_02.mp3""}, {""segment_id"": ""syn_audio_seed_002_gen_01_seg_03"", ""speaker"": ""Оператор"", ""text"": ""Пожалуйста, предоставьте код из СМС, который мы вам отправили для подтверждения."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_002_gen_01_seg_03.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_002_gen_01.mp3,data/06_audio/synthetic/audio/syn_audio_seed_002_gen_01.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_002_gen_01.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_002_gen_01.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
syn_audio_seed_004_gen_01,seed_004_gen_01,fraud,fake_police_call,medium,"Следователь: Добрый день, это оперативная группа ФСБ. У нас есть информация о вашем участии в преступной группировке. Клиент: Я ничего не знаю. Следователь: Мы знаем все детали ваших действий. Клиент: Вы меня обманываете. Следователь: Нет, мы имеем все доказательства. Клиент: Я не могу поверить. Следователь: Позвольте нам связаться с вашими знакомыми и родственниками. Клиент: Нет, не надо!","[""police_impersonation"", ""secrecy"", ""pressure"", ""do_not_hang_up""]",8,"[{""segment_id"": ""syn_audio_seed_004_gen_01_seg_01"", ""speaker"": ""Следователь"", ""text"": ""Добрый день, это оперативная группа ФСБ. У нас есть информация о вашем участии в преступной группировке."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_004_gen_01_seg_01.mp3""}, {""segment_id"": ""syn_audio_seed_004_gen_01_seg_02"", ""speaker"": ""Клиент"", ""text"": ""Я ничего не знаю."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_004_gen_01_seg_02.mp3""}, {""segment_id"": ""syn_audio_seed_004_gen_01_seg_03"", ""speaker"": ""Следователь"", ""text"": ""Мы знаем все детали ваших действий."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_004_gen_01_seg_03.mp3""}, {""segment_id"": ""syn_audio_seed_004_gen_01_seg_04"", ""speaker"": ""Клиент"", ""text"": ""Вы меня обманываете."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_004_gen_01_seg_04.mp3""}, {""segment_id"": ""syn_audio_seed_004_gen_01_seg_05"", ""speaker"": ""Следователь"", ""text"": ""Нет, мы имеем все доказательства."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_004_gen_01_seg_05.mp3""}, {""segment_id"": ""syn_audio_seed_004_gen_01_seg_06"", ""speaker"": ""Клиент"", ""text"": ""Я не могу поверить."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_004_gen_01_seg_06.mp3""}, {""segment_id"": ""syn_audio_seed_004_gen_01_seg_07"", ""speaker"": ""Следователь"", ""text"": ""Позвольте нам связаться с вашими знакомыми и родственниками."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_004_gen_01_seg_07.mp3""}, {""segment_id"": ""syn_audio_seed_004_gen_01_seg_08"", ""speaker"": ""Клиент"", ""text"": ""Нет, не надо!"", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_004_gen_01_seg_08.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_004_gen_01.mp3,data/06_audio/synthetic/audio/syn_audio_seed_004_gen_01.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_004_gen_01.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_004_gen_01.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
syn_audio_seed_006_gen_01,seed_006_gen_01,fraud,fake_support_app_install,hard,"Оператор: Добрый день, это техническая поддержка банка. Мы видим подозрительный вход в ваш личный кабинет. Клиент: Что мне делать? Оператор: Для защиты счёта срочно установите приложение удалённого доступа, я подключусь и помогу отменить операции. Клиент: Это безопасно? Оператор: Да, это стандартная процедура службы безопасности, без неё мы не сможем заблокировать мошенников.","[""remote_access_app"", ""bank_impersonation"", ""trust_building""]",5,"[{""segment_id"": ""syn_audio_seed_006_gen_01_seg_01"", ""speaker"": ""Оператор"", ""text"": ""Добрый день, это техническая поддержка банка. Мы видим подозрительный вход в ваш личный кабинет."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_006_gen_01_seg_01.mp3""}, {""segment_id"": ""syn_audio_seed_006_gen_01_seg_02"", ""speaker"": ""Клиент"", ""text"": ""Что мне делать?"", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_006_gen_01_seg_02.mp3""}, {""segment_id"": ""syn_audio_seed_006_gen_01_seg_03"", ""speaker"": ""Оператор"", ""text"": ""Для защиты счёта срочно установите приложение удалённого доступа, я подключусь и помогу отменить операции."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_006_gen_01_seg_03.mp3""}, {""segment_id"": ""syn_audio_seed_006_gen_01_seg_04"", ""speaker"": ""Клиент"", ""text"": ""Это безопасно?"", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_006_gen_01_seg_04.mp3""}, {""segment_id"": ""syn_audio_seed_006_gen_01_seg_05"", ""speaker"": ""Оператор"", ""text"": ""Да, это стандартная процедура службы безопасности, без неё мы не сможем заблокировать мошенников."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_006_gen_01_seg_05.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_006_gen_01.mp3,data/06_audio/synthetic/audio/syn_audio_seed_006_gen_01.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_006_gen_01.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_006_gen_01.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
syn_audio_seed_007_gen_01,seed_007_gen_01,fraud,government_service_impersonation,easy,"Следователь: Здравствуйте, это служба безопасности Госуслуг. Ваш профиль подвергся взлому. Пожалуйста, подтвердите свою личность, набрав код из СМС.","[""government_impersonation"", ""urgency"", ""sms_code_request"", ""phishing_link"", ""password_request""]",1,"[{""segment_id"": ""syn_audio_seed_007_gen_01_seg_01"", ""speaker"": ""Следователь"", ""text"": ""Здравствуйте, это служба безопасности Госуслуг. Ваш профиль подвергся взлому. Пожалуйста, подтвердите свою личность, набрав код из СМС."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_007_gen_01_seg_01.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_007_gen_01.mp3,data/06_audio/synthetic/audio/syn_audio_seed_007_gen_01.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_007_gen_01.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_007_gen_01.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
syn_audio_seed_008_gen_01,seed_008_gen_01,fraud,investment_scam,hard,"Клиент: Здравствуйте, я нашел отличную инвестиционную схему. Оператор: Привет! Да, конечно, расскажите мне подробнее. Клиент: Это очень выгодно, всего за несколько месяцев можно получить большой доход. Оператор: Отлично, давайте я вам всё объясню. Клиент: Вы можете попробовать вложить деньги прямо сейчас, у нас есть ограниченное предложение. Оператор: Хорошо, но мне нужно ваш номер карты для проведения операции.","[""pressure"", ""urgency"", ""trust_building""]",6,"[{""segment_id"": ""syn_audio_seed_008_gen_01_seg_01"", ""speaker"": ""Клиент"", ""text"": ""Здравствуйте, я нашел отличную инвестиционную схему."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_008_gen_01_seg_01.mp3""}, {""segment_id"": ""syn_audio_seed_008_gen_01_seg_02"", ""speaker"": ""Оператор"", ""text"": ""Привет! Да, конечно, расскажите мне подробнее."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_008_gen_01_seg_02.mp3""}, {""segment_id"": ""syn_audio_seed_008_gen_01_seg_03"", ""speaker"": ""Клиент"", ""text"": ""Это очень выгодно, всего за несколько месяцев можно получить большой доход."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_008_gen_01_seg_03.mp3""}, {""segment_id"": ""syn_audio_seed_008_gen_01_seg_04"", ""speaker"": ""Оператор"", ""text"": ""Отлично, давайте я вам всё объясню."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_008_gen_01_seg_04.mp3""}, {""segment_id"": ""syn_audio_seed_008_gen_01_seg_05"", ""speaker"": ""Клиент"", ""text"": ""Вы можете попробовать вложить деньги прямо сейчас, у нас есть ограниченное предложение."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_008_gen_01_seg_05.mp3""}, {""segment_id"": ""syn_audio_seed_008_gen_01_seg_06"", ""speaker"": ""Оператор"", ""text"": ""Хорошо, но мне нужно ваш номер карты для проведения операции."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_008_gen_01_seg_06.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_008_gen_01.mp3,data/06_audio/synthetic/audio/syn_audio_seed_008_gen_01.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_008_gen_01.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_008_gen_01.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
syn_audio_seed_005_gen_01,seed_005_gen_01,fraud,relative_emergency,medium,"Звонящий: Мама, не пугайся, я сбил человека, трубку передаю следователю. Следователь: Ваш сын сейчас у нас, вопрос можно решить без суда, но действовать нужно срочно. Клиент: Что от меня требуется? Следователь: Немедленно переведите деньги на указанную карту и никому не звоните, пока мы оформляем документы. Клиент: Я хочу сначала поговорить с сыном. Следователь: Нельзя, он на допросе, если будете тянуть время, дело сразу передадут в суд.","[""urgency"", ""pressure"", ""secrecy""]",6,"[{""segment_id"": ""syn_audio_seed_005_gen_01_seg_01"", ""speaker"": ""Звонящий"", ""text"": ""Мама, не пугайся, я сбил человека, трубку передаю следователю."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_005_gen_01_seg_01.mp3""}, {""segment_id"": ""syn_audio_seed_005_gen_01_seg_02"", ""speaker"": ""Следователь"", ""text"": ""Ваш сын сейчас у нас, вопрос можно решить без суда, но действовать нужно срочно."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_005_gen_01_seg_02.mp3""}, {""segment_id"": ""syn_audio_seed_005_gen_01_seg_03"", ""speaker"": ""Клиент"", ""text"": ""Что от меня требуется?"", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_005_gen_01_seg_03.mp3""}, {""segment_id"": ""syn_audio_seed_005_gen_01_seg_04"", ""speaker"": ""Следователь"", ""text"": ""Немедленно переведите деньги на указанную карту и никому не звоните, пока мы оформляем документы."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_005_gen_01_seg_04.mp3""}, {""segment_id"": ""syn_audio_seed_005_gen_01_seg_05"", ""speaker"": ""Клиент"", ""text"": ""Я хочу сначала поговорить с сыном."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_005_gen_01_seg_05.mp3""}, {""segment_id"": ""syn_audio_seed_005_gen_01_seg_06"", ""speaker"": ""Следователь"", ""text"": ""Нельзя, он на допросе, если будете тянуть время, дело сразу передадут в суд."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_005_gen_01_seg_06.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_005_gen_01.mp3,data/06_audio/synthetic/audio/syn_audio_seed_005_gen_01.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_005_gen_01.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_005_gen_01.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
syn_audio_seed_003_gen_01,seed_003_gen_01,fraud,safe_account_transfer,medium,"Оператор: Здравствуйте, это служба безопасности банка. Ваш резервный счёт попытался перевести деньги. Клиент: Какой резервный счёт? Оператор: Карта с номером XXXX-XXXX-XXXX-1234. Клиент: Я ничего не делал. Оператор: Пожалуйста, назовите код из СМС, чтобы отменить перевод.","[""safe_account_transfer"", ""urgency"", ""secrecy"", ""pressure""]",5,"[{""segment_id"": ""syn_audio_seed_003_gen_01_seg_01"", ""speaker"": ""Оператор"", ""text"": ""Здравствуйте, это служба безопасности банка. Ваш резервный счёт попытался перевести деньги."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_003_gen_01_seg_01.mp3""}, {""segment_id"": ""syn_audio_seed_003_gen_01_seg_02"", ""speaker"": ""Клиент"", ""text"": ""Какой резервный счёт?"", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_003_gen_01_seg_02.mp3""}, {""segment_id"": ""syn_audio_seed_003_gen_01_seg_03"", ""speaker"": ""Оператор"", ""text"": ""Карта с номером XXXX-XXXX-XXXX-1234."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_003_gen_01_seg_03.mp3""}, {""segment_id"": ""syn_audio_seed_003_gen_01_seg_04"", ""speaker"": ""Клиент"", ""text"": ""Я ничего не делал."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_003_gen_01_seg_04.mp3""}, {""segment_id"": ""syn_audio_seed_003_gen_01_seg_05"", ""speaker"": ""Оператор"", ""text"": ""Пожалуйста, назовите код из СМС, чтобы отменить перевод."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_003_gen_01_seg_05.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_003_gen_01.mp3,data/06_audio/synthetic/audio/syn_audio_seed_003_gen_01.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_003_gen_01.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_003_gen_01.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
syn_audio_seed_015_gen_01,seed_015_gen_01,safe,bank_office_info,easy,"Оператор: Добрый день! Я из отделения банка. Хотел бы узнать, когда можно будет забрать свои документы? Клиент: Да, конечно. Они были отправлены недавно. Оператор: Отлично, спасибо за информацию. Если у вас возникнут вопросы, обращайтесь. Клиент: Спасибо!",[],4,"[{""segment_id"": ""syn_audio_seed_015_gen_01_seg_01"", ""speaker"": ""Оператор"", ""text"": ""Добрый день! Я из отделения банка. Хотел бы узнать, когда можно будет забрать свои документы?"", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_015_gen_01_seg_01.mp3""}, {""segment_id"": ""syn_audio_seed_015_gen_01_seg_02"", ""speaker"": ""Клиент"", ""text"": ""Да, конечно. Они были отправлены недавно."", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_015_gen_01_seg_02.mp3""}, {""segment_id"": ""syn_audio_seed_015_gen_01_seg_03"", ""speaker"": ""Оператор"", ""text"": ""Отлично, спасибо за информацию. Если у вас возникнут вопросы, обращайтесь."", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_015_gen_01_seg_03.mp3""}, {""segment_id"": ""syn_audio_seed_015_gen_01_seg_04"", ""speaker"": ""Клиент"", ""text"": ""Спасибо!"", ""voice"": ""ru-RU-SvetlanaNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_015_gen_01_seg_04.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_015_gen_01.mp3,data/06_audio/synthetic/audio/syn_audio_seed_015_gen_01.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_015_gen_01.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_015_gen_01.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
syn_audio_seed_015_gen_02,seed_015_gen_02,safe,bank_office_info,easy,"Оператор: Добрый день, это служба поддержки банка. Хотели бы узнать график работы отделения вашего банка?",[],1,"[{""segment_id"": ""syn_audio_seed_015_gen_02_seg_01"", ""speaker"": ""Оператор"", ""text"": ""Добрый день, это служба поддержки банка. Хотели бы узнать график работы отделения вашего банка?"", ""voice"": ""ru-RU-DmitryNeural"", ""segment_audio_path"": ""data/06_audio/synthetic/segments/syn_audio_seed_015_gen_02_seg_01.mp3""}]",data/06_audio/synthetic/audio/syn_audio_seed_015_gen_02.mp3,data/06_audio/synthetic/audio/syn_audio_seed_015_gen_02.wav,data/06_audio/synthetic/transcripts/asr/syn_audio_seed_015_gen_02.txt,data/06_audio/synthetic/transcripts/manual/syn_audio_seed_015_gen_02.txt,Synthetic TTS example for audio -> ASR -> LLM experiment.
