id,label,scenario,text,signals,difficulty,source,language,modality,_meta
seed_001_gen_01,fraud,bank_security_call,"Оператор: Здравствуйте, это служба безопасности банка. У нас есть сообщение о попытке перевода средств с вашего счета. Клиент: Я ничего не делал. Оператор: Пожалуйста, подтвердите операцию, назвав код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_001_gen_01', 'brief_id': 'seed_001'}"
seed_001_gen_02,fraud,bank_security_call,"Оператор: Здравствуйте, это служба безопасности банка. У нас есть сообщение о попытке перевода средств с вашего счета. Клиент: Я ничего не делал. Оператор: Пожалуйста, немедленно подтвердите перевод, назвав код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_001_gen_02', 'brief_id': 'seed_001'}"
seed_001_gen_03,fraud,bank_security_call,"Оператор: Здравствуйте, это служба безопасности банка. Выявлено подозрительное пополнение счета. Клиент: Что значит подозрительное? Оператор: Пополнение было произведено через неизвестный терминал. Клиент: Это невозможно! Оператор: Пожалуйста, подтвердите это немедленно, набрав код из СМС.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_001_gen_03', 'brief_id': 'seed_001'}"
seed_001_gen_04,fraud,bank_security_call,"Оператор: Здравствуйте, это служба безопасности банка. Выявлено подозрительное пополнение на вашем счете. Клиент: Что значит подозрительное пополнение? Оператор: Проверка показывает, что средства были переведены с другого номера. Клиент: Я ничего не согласовывал! Оператор: Пожалуйста, подтвердите перевод, набрав код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_001_gen_04', 'brief_id': 'seed_001'}"
seed_001_gen_05,fraud,bank_security_call,"Оператор: Здравствуйте, это служба безопасности банка. У нас есть сообщение о попытке перевода средств с вашего счета. Клиент: Я ничего не делал. Оператор: Пожалуйста, подтвердите перевод, назвав код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_001_gen_05', 'brief_id': 'seed_001'}"
seed_001_gen_06,fraud,bank_security_call,"Оператор: Здравствуйте, это служба безопасности банка. Выявлено подозрительное пополнение счета. Клиент: Я ничего не делал! Оператор: Пожалуйста, подтвердите операцию, назвав код из СМС, который мы вам отправили.",bank_impersonation;urgency;sms_code_request;pressure;do_not_hang_up;trust_building,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_001_gen_06', 'brief_id': 'seed_001'}"
seed_002_gen_01,fraud,fake_loan_application,"Оператор: Здравствуйте, это служба безопасности банка. Ваша заявка на кредит была успешно рассмотрена, но нам необходимо срочно убедиться в вашем реальном адресе. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, предоставьте код из СМС, который мы вам отправили для подтверждения.",loan_fraud;sms_code_request;bank_impersonation;card_data_request;password_request,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_002_gen_01', 'brief_id': 'seed_002'}"
seed_002_gen_02,fraud,fake_loan_application,"Оператор: Здравствуйте, это служба безопасности банка. Ваша заявка на кредит была успешно подана, но сейчас нам нужно срочно убедиться в вашей личности. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, дайте мне код из СМС, чтобы мы могли завершить процесс.",loan_fraud;sms_code_request;bank_impersonation;card_data_request;password_request,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_002_gen_02', 'brief_id': 'seed_002'}"
seed_002_gen_03,fraud,fake_loan_application,"Оператор: Здравствуйте, это служба безопасности банка. Ваша заявка на кредит была успешно рассмотрена, но нам необходимо срочно убедиться в вашем реальном адресе. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, предоставьте код из СМС, который мы вам отправили для подтверждения.",loan_fraud;sms_code_request;bank_impersonation;card_data_request;password_request,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_002_gen_03', 'brief_id': 'seed_002'}"
seed_002_gen_04,fraud,fake_loan_application,"Оператор: Здравствуйте, это служба безопасности банка. У нас есть информация, что кто-то пытается оформить кредит на вашу карту. Клиент: Я ничего не оформлял! Оператор: Пожалуйста, проверьте сообщение из СМС. В нем будет код для отмены операции.",loan_fraud;bank_impersonation;sms_code_request;card_data_request;password_request,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_002_gen_04', 'brief_id': 'seed_002'}"
seed_002_gen_05,fraud,fake_loan_application,"Оператор: Здравствуйте, это служба безопасности банка. Ваша заявка на кредит была успешно рассмотрена, но сейчас требуется срочная отмена. Клиент: Я ничего не подписывал! Оператор: Пожалуйста, предоставьте код из СМС, чтобы мы могли отменить операцию.",loan_fraud;sms_code_request;bank_impersonation;card_data_request;password_request,easy,synthetic_llm_generated,ru,text,"{'request_id': 'seed_002_gen_05', 'brief_id': 'seed_002'}"
seed_003_gen_01,fraud,safe_account_transfer,"Оператор: Здравствуйте, это служба безопасности банка. Ваш резервный счёт попытался перевести деньги. Клиент: Какой резервный счёт? Оператор: Карта с номером XXXX-XXXX-XXXX-1234. Клиент: Я ничего не делал. Оператор: Пожалуйста, назовите код из СМС, чтобы отменить перевод.",safe_account_transfer;urgency;secrecy;pressure,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_003_gen_01', 'brief_id': 'seed_003'}"
seed_003_gen_02,fraud,safe_account_transfer,"Оператор: Здравствуйте, это служба безопасности банка. По вашему счёту зафиксирована попытка вывода денег. Клиент: Я ничего не подтверждала. Оператор: Тогда срочно переведите средства на резервный безопасный счёт, который я сейчас продиктую, и никому не сообщайте о разговоре. Клиент: А почему это нужно делать прямо сейчас? Оператор: Иначе деньги спишутся в течение нескольких минут, времени на проверку нет.",safe_account_transfer;urgency;secrecy;pressure,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_003_gen_02', 'brief_id': 'seed_003'}"
seed_003_gen_03,fraud,safe_account_transfer,"Оператор: Это служба безопасности банка. На ваше имя пытаются оформить списание, поэтому деньги нужно немедленно перевести на защищённый счёт Центробанка. Клиент: Я не понимаю, что происходит. Оператор: Не задавайте лишних вопросов и не прерывайте разговор, я продиктую реквизиты безопасного счёта. Клиент: Мне стоит сначала позвонить в банк? Оператор: Нет, если сейчас положите трубку, операция будет завершена мошенниками.",safe_account_transfer;urgency;secrecy;pressure,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_003_gen_03', 'brief_id': 'seed_003'}"
seed_003_gen_04,fraud,safe_account_transfer,"Оператор: Здравствуйте, это служба безопасности банка. Ваш резервный счёт попытался совершить перевод. Клиент: Я ничего не согласовывал. Оператор: Пожалуйста, проверьте перевод и если он не нужен, свяжитесь с нашей службой поддержки.",safe_account_transfer;urgency;secrecy;pressure,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_003_gen_04', 'brief_id': 'seed_003'}"
seed_004_gen_01,fraud,fake_police_call,"Следователь: Добрый день, это оперативная группа ФСБ. У нас есть информация о вашем участии в преступной группировке. Клиент: Я ничего не знаю. Следователь: Мы знаем все детали ваших действий. Клиент: Вы меня обманываете. Следователь: Нет, мы имеем все доказательства. Клиент: Я не могу поверить. Следователь: Позвольте нам связаться с вашими знакомыми и родственниками. Клиент: Нет, не надо!",police_impersonation;secrecy;pressure;do_not_hang_up,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_004_gen_01', 'brief_id': 'seed_004'}"
seed_004_gen_02,fraud,fake_police_call,"Следователь: Здравствуйте, это оперативная группа ФСБ. Мы проверяем вашу связь с подозрительной стороной. Клиент: Я ничего не делал. Следователь: Нам нужно знать все подробности. Клиент: Вы меня не слушаете! Следователь: Пожалуйста, расскажите всё, что знаете. Клиент: Я не знаю ничего!",police_impersonation;secrecy;pressure;do_not_hang_up,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_004_gen_02', 'brief_id': 'seed_004'}"
seed_004_gen_03,fraud,fake_police_call,"Следователь: Добрый день, это оперативная группа ФСБ. Мы получили сообщение о попытке мошенничества с вашей стороны. Срочно расскажите мне всё, что знаете.",police_impersonation;secrecy;pressure;do_not_hang_up,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_004_gen_03', 'brief_id': 'seed_004'}"
seed_004_gen_04,fraud,fake_police_call,"Следователь: Здравствуйте, это оперативная группа ФСБ. Мы проверяем вашу связь с подозрительной стороной. Клиент: Я ничего не делал. Следователь: Пожалуйста, не отвлекайтесь. Мы требуем, чтобы вы сообщили нам свой код СМС для подтверждения операции.",police_impersonation;secrecy;pressure;do_not_hang_up,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_004_gen_04', 'brief_id': 'seed_004'}"
seed_005_gen_01,fraud,relative_emergency,"Звонящий: Мама, не пугайся, я сбил человека, трубку передаю следователю. Следователь: Ваш сын сейчас у нас, вопрос можно решить без суда, но действовать нужно срочно. Клиент: Что от меня требуется? Следователь: Немедленно переведите деньги на указанную карту и никому не звоните, пока мы оформляем документы. Клиент: Я хочу сначала поговорить с сыном. Следователь: Нельзя, он на допросе, если будете тянуть время, дело сразу передадут в суд.",urgency;pressure;secrecy,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_005_gen_01', 'brief_id': 'seed_005'}"
seed_005_gen_02,fraud,relative_emergency,"Оператор: Здравствуйте, это служба безопасности банка. Ваш родственник попал в серьезную ситуацию. Он попросил срочно перевести ему деньги на карту. Клиент: Я ничего не знала! Оператор: Пожалуйста, не переживайте, но это очень важно. Выберите код из СМС, который вам придет, и отправьте его мне. Это поможет отменить перевод.",urgency;pressure;sms_code_request;secrecy,medium,synthetic_llm_generated,ru,text,"{'request_id': 'seed_005_gen_02', 'brief_id': 'seed_005'}"
